STRUC_Easting,STRUC_Northing,STRUC_Elevation,Leapfrog Dip,Leapfrog Dip Direction,Mute Flag
9377.17,5896.65,3799.8,46.636,142.204,3
9376.92,5896.73,3797.97,41.696,141.097,3
9376.07,5897,3791.89,35.929,147.744,3
9393.25,5845.56,3941.54,43.25,111.64,M
9367.57,5848.96,3932.32,58.107,115.849,M
9361.8,5849.77,3930.18,41.16,141.664,3
9356.04,5850.58,3928.04,62.424,129.936,M
9349.79,5851.44,3925.66,54.942,121.156,M
9312.45,5856.96,3910.85,28.162,67.619,3
9282.74,5861.08,3898.33,38.729,124.92,1
9279.28,5861.54,3896.83,40.806,127.882,M
9276.92,5861.86,3895.79,43.112,130.315,1
9273.56,5862.32,3894.29,43.357,117.68,1
9269.3,5862.89,3892.4,49.873,127.753,3
9260.42,5864.09,3888.43,42.491,130.727,1
9259.25,5864.25,3887.89,47.233,126.43,1
9254.48,5864.89,3885.67,47.043,126.503,M
9251.87,5865.23,3884.46,44.692,115.088,M
9241.26,5866.68,3879.5,36.626,136.323,M
9236.53,5867.39,3877.22,38.637,118.201,M
9231.53,5868.13,3874.81,40.036,121.256,M
9216.68,5870.26,3867.46,43.253,134.2,M
9208.79,5871.35,3863.49,44.124,118.682,1
9202.28,5872.35,3860.12,38.75,122.198,M
9201.4,5872.48,3859.66,28.809,110.633,1
9317.71,5855.61,3873.46,50.858,64.623,1
9316.19,5855.81,3872.1,47.838,70.474,3
9312,5856.36,3868.27,52.604,65.362,M
9308.33,5856.85,3864.91,44.854,55.728,M
9306.38,5857.1,3863.13,46.274,63.106,1
9304.92,5857.3,3861.79,34.203,74.477,1
9302.71,5857.59,3859.77,48.01,77.202,3
9298.67,5858.12,3856.01,48.086,63.493,M
9295.98,5858.47,3853.49,45.184,74.04,1
9292.92,5858.88,3850.64,44.983,91.179,M
9291.91,5859.01,3849.69,53.339,72.651,3
9290.52,5859.19,3848.4,45.686,62.683,M
9288.12,5859.51,3846.16,44.962,69.58,1
9286.04,5859.78,3844.16,49.585,63.867,1
9284.1,5860.03,3842.3,41.348,69.441,1
9281.22,5860.4,3839.54,43.903,76.493,M
9271.86,5861.63,3830.53,47.1,62.96,M
9261.99,5862.96,3820.91,38.886,69.518,M
9260.78,5863.13,3819.73,57.399,66.294,3
9259.6,5863.29,3818.58,43.868,69.182,M
9257.35,5863.59,3816.33,50.944,78.857,1
9256.16,5863.75,3815.13,49.169,74.989,3
9254.51,5863.97,3813.47,43.582,68.983,M
9242.03,5865.61,3800.88,62.199,66.568,M
9365.42,5845.19,3912.85,28.68,117.327,3
9362.18,5845.25,3909.95,54.606,108.658,M
9348.44,5845.61,3897.57,45.01,132.907,3
9333.97,5845.87,3884.5,67.471,94.724,1
9319.42,5846.14,3871.14,43.568,118.97,3
9316.31,5846.21,3868.25,43.687,111.838,M
9314.63,5846.25,3866.68,36.467,107.502,M
9313.94,5846.26,3866.03,36.437,107.525,M
9311.86,5846.31,3864.08,31.83,91.29,M
9308.22,5846.39,3860.65,31.683,91.416,M
9292.44,5846.87,3845.61,41.48,112.59,1
9290.46,5846.93,3843.71,56.677,113.595,3
9287.2,5847.03,3840.54,35.649,118.486,3
9286.2,5847.06,3839.56,45.731,119.816,M
9284.48,5847.11,3837.88,54.513,122.472,M
9282.41,5847.18,3835.85,42.351,112.864,3
9279.52,5847.26,3833.02,30.791,135.402,3
9273.53,5847.44,3827.13,38.334,111.749,M
9267.19,5847.64,3820.82,47.083,112.355,1
9266.51,5847.66,3820.15,59.55,109.248,3
9263.96,5847.74,3817.62,42.074,127.508,M
9263.6,5847.75,3817.26,48.233,125.473,1
9331.84,5998.32,3838.58,36.423,78.002,1
9331.61,5998.34,3836.63,35.612,65.07,1
9331.51,5998.35,3835.87,53.507,38.899,3
9331.21,5998.38,3833.31,50.614,67.054,M
9330.85,5998.41,3830.28,40.672,72.148,1
9330.47,5998.42,3826.36,45.584,75.647,3
9330.39,5998.43,3825.47,45.136,66.51,M
9329.71,5998.46,3818.45,45.542,78.748,1
9329.28,5998.48,3813.95,41.146,86.628,M
9329.13,5998.49,3812.38,40.321,60.036,M
9328.74,5998.49,3809.01,40.889,63.83,M
9328.27,5998.48,3805.42,36.938,80.758,M
9327.49,5998.45,3799.5,42.413,75.501,1
9327.12,5998.44,3796.63,47.833,79.589,3
9327,5998.44,3795.77,47.792,75.281,M
9326.66,5998.43,3793.2,42.881,71.533,1
9326.36,5998.42,3790.86,43.548,88.312,3
9325.32,5998.39,3784.71,38.222,64.536,M
9324.63,5998.37,3780.66,39.573,84.426,M
9324.28,5998.36,3778.59,33.938,69.362,M
9323.67,5998.34,3774.97,33.954,68.798,M
9323.17,5998.33,3772,43.583,62.398,3
9322.9,5998.32,3770.43,43.911,66.276,M
9322.48,5998.28,3767.95,39.548,94.181,M
9322.23,5998.26,3766.47,39.556,78.276,M
9321.88,5998.23,3764.45,39.653,89.712,1
9321.55,5998.2,3762.5,44.424,97.736,M
9321,5998.16,3759.26,39.604,92.88,1
9320.12,5998.09,3754.12,43.699,108.945,M
9319.38,5998.01,3749.79,44.065,104.29,3
9319.13,5997.98,3748.32,39.367,99.355,M
9318.25,5997.87,3743.25,49.382,99.938,1
9317.63,5997.8,3739.7,39.672,94.185,3
9317.08,5997.73,3736.53,49.965,85.994,3
